epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,5884.14,0.89587,0.61108,0.97365,0.91256,0.72904,0.83963,0.65255,0.83993,0.64233,0.95486,0.0002576,0.0002576,0.0002576
90,5949.69,0.88761,0.61295,0.97084,0.90472,0.73887,0.83936,0.65231,0.84292,0.62854,0.95526,0.0002378,0.0002378,0.0002378
91,6013.46,0.81261,0.51557,0.91772,0.90938,0.73784,0.8391,0.64918,0.84399,0.63532,0.96165,0.000218,0.000218,0.000218
92,6077.48,0.81368,0.50492,0.92503,0.91292,0.74297,0.84123,0.65521,0.84458,0.63566,0.96104,0.0001982,0.0001982,0.0001982
93,6141.6,0.81054,0.50872,0.91925,0.90168,0.7383,0.83554,0.64907,0.84408,0.63617,0.95802,0.0001784,0.0001784,0.0001784
94,6205.1,0.80856,0.49459,0.92145,0.90101,0.74197,0.83852,0.65142,0.84122,0.63781,0.95694,0.0001586,0.0001586,0.0001586
95,6269.35,0.78636,0.48842,0.90989,0.88681,0.74753,0.84101,0.65405,0.83645,0.63335,0.95302,0.0001388,0.0001388,0.0001388
96,6333.45,0.79956,0.48892,0.91738,0.89707,0.74278,0.83865,0.65267,0.8383,0.64165,0.95375,0.000119,0.000119,0.000119
97,6397.12,0.78723,0.48916,0.91346,0.89814,0.74016,0.83616,0.65042,0.83944,0.63296,0.95708,9.92e-05,9.92e-05,9.92e-05
98,6461.06,0.78181,0.48475,0.90926,0.88802,0.74565,0.83433,0.65278,0.83247,0.63418,0.95173,7.94e-05,7.94e-05,7.94e-05
99,6524.54,0.78026,0.47804,0.90692,0.9061,0.73182,0.83875,0.65606,0.83154,0.64108,0.9515,5.96e-05,5.96e-05,5.96e-05
100,6588.23,0.7753,0.47745,0.90683,0.89866,0.74339,0.84021,0.65744,0.82679,0.63162,0.95077,3.98e-05,3.98e-05,3.98e-05
